,time,1,2,3,4,5,6,7,8,sampling_rate,pkg
42,0.2552003860473633,1612.9395,164.35547,-1649.1943,258.61816,-64.453125,-32.226562,-1650.0,-954.7119,168.0,42.0
43,0.27817773818969727,-174.8291,601.83105,1104.5654,-78.149414,-219.94629,108.76465,-1534.79,1611.3281,158.0,43.0
44,0.2821638584136963,-1649.1943,73.31543,1602.4658,-231.22559,-16.113281,121.65527,-992.5781,431.03027,159.0,44.0
45,0.28911590576171875,341.60156,-554.2969,-102.319336,39.47754,219.94629,-87.01172,1354.3213,-1408.3008,159.0,45.0
46,0.29309892654418945,1513.0371,-268.28613,-1649.1943,244.11621,111.18164,-109.57031,1634.6924,-1639.5264,160.0,46.0
47,0.2970883846282959,-1650.0,615.52734,118.43262,100.70801,-203.83301,53.17383,-841.1133,1054.6143,161.0,47.0
48,0.30107903480529785,-1413.9404,393.96973,1481.6162,-205.44434,-150.65918,104.73633,-1649.1943,1649.1943,162.0,48.0
49,0.3050673007965088,-1649.1943,-396.38672,1649.1943,-105.54199,124.072266,20.141602,854.0039,-1009.4971,163.0,49.0
50,0.3110511302947998,1269.7266,-540.6006,-1389.7705,194.9707,224.78027,-128.90625,1571.8506,-1587.1582,163.0,50.0
51,0.31407833099365234,1623.4131,249.75586,-1649.1943,253.78418,-96.67969,-18.530273,1093.2861,-454.39453,165.0,51.0
52,0.3190286159515381,-497.09473,587.3291,1196.4111,-107.15332,-228.00293,120.84961,-1608.9111,1649.1943,166.0,52.0
53,0.32302069664001465,-1649.1943,-12.890625,1612.9395,-218.33496,16.113281,96.67969,-533.3496,74.12109,167.0,53.0
54,0.3300015926361084,593.7744,-571.2158,-426.1963,73.31543,221.55762,-95.06836,1407.4951,-1452.6123,166.0,54.0
55,0.3349883556365967,-1650.0,596.1914,448.75488,62.841797,-203.02734,73.31543,-1030.4443,1205.2734,167.0,55.0
56,0.3389761447906494,-1497.7295,359.32617,1522.7051,-213.50098,-122.46094,102.319336,-1649.1943,1649.1943,168.0,56.0
